CustomerID,Recency,Frequency,Monetary,R_quartile,F_quartile,M_quartile,RFM_Score,Segment
12346.0,326,1,77183.6,1,1,4,114,Low-Value
12347.0,2,182,4310.0,4,4,4,444,VIP
12348.0,75,31,1797.24,2,2,4,224,At Risk
12349.0,19,73,1757.55,3,3,4,334,Low-Value
12350.0,310,17,334.4,1,1,2,112,Low-Value
12352.0,36,85,2506.04,3,3,4,334,Low-Value
12353.0,204,4,89.0,1,1,1,111,Low-Value
12354.0,232,58,1079.4,1,3,3,133,Low-Value
12355.0,214,13,459.4,1,1,2,112,Low-Value
12356.0,23,59,2811.43,3,3,4,334,Low-Value
12357.0,33,131,6207.67,3,4,4,344,Potential
12358.0,2,19,1168.06,4,2,3,423,Low-Value
12359.0,58,245,6310.03,2,4,4,244,At Risk
12360.0,52,129,2662.06,2,4,4,244,At Risk
12361.0,287,10,189.9,1,1,1,111,Low-Value
12362.0,3,266,5226.23,4,4,4,444,VIP
12363.0,110,23,552.0,2,2,2,222,At Risk
12364.0,8,85,1313.1,4,3,3,433,Low-Value
12365.0,291,22,641.38,1,2,2,122,Low-Value
12367.0,4,11,168.9,4,1,1,411,Low-Value
12370.0,51,166,3541.94,3,4,4,344,Potential
12371.0,45,63,1887.96,3,3,4,334,Low-Value
12372.0,72,52,1298.04,2,3,3,233,At Risk
12373.0,311,14,364.6,1,1,2,112,Low-Value
12374.0,25,33,742.9300000000001,3,2,3,323,Low-Value
12375.0,11,17,457.5,4,1,2,412,Low-Value
12377.0,315,77,1628.12,1,3,3,133,Low-Value
12378.0,130,219,4008.62,2,4,4,244,At Risk
12379.0,82,40,852.24,2,2,3,223,At Risk
12380.0,22,104,2724.81,3,4,4,344,Potential
12381.0,5,87,1845.31,4,3,4,434,Low-Value
12383.0,185,99,1850.56,1,4,4,144,Low-Value
12384.0,29,27,585.27,3,2,2,322,Low-Value
12386.0,338,10,401.9,1,1,2,112,Low-Value
12388.0,16,100,2780.66,4,4,4,444,VIP
12390.0,80,32,549.84,2,2,2,222,At Risk
12391.0,22,93,439.66,3,3,2,332,Low-Value
12393.0,72,64,1582.6000000000001,2,3,3,233,At Risk
12394.0,64,27,1272.48,2,2,3,223,At Risk
12395.0,19,156,3018.63,3,4,4,344,Potential
12397.0,36,126,2409.9,3,4,4,344,Potential
12398.0,46,85,1635.6599999999999,3,3,3,333,Low-Value
12399.0,119,59,1108.65,2,3,3,233,At Risk
12401.0,303,5,84.3,1,1,1,111,Low-Value
12402.0,323,11,225.6,1,1,1,111,Low-Value
12403.0,50,5,427.7,3,1,2,312,Low-Value
